"Time (CET)","Day-ahead Total Load Forecast [MW] - BZN|CH","Actual Total Load [MW] - BZN|CH"
"07.01.2017 20:00 - 07.01.2017 21:00","8685","7666"
"07.01.2017 21:00 - 07.01.2017 22:00","8083","7380"
"07.01.2017 22:00 - 07.01.2017 23:00","8130","7067"
"07.01.2017 23:00 - 08.01.2017 00:00","7972","7048"
"08.01.2017 00:00 - 08.01.2017 01:00","7934","6978"
"08.01.2017 01:00 - 08.01.2017 02:00","7847","6797"
"08.01.2017 02:00 - 08.01.2017 03:00","7816","6723"
"08.01.2017 03:00 - 08.01.2017 04:00","7579","6798"
"08.01.2017 04:00 - 08.01.2017 05:00","8125","6973"
"08.01.2017 05:00 - 08.01.2017 06:00","7539","6779"
"08.01.2017 06:00 - 08.01.2017 07:00","7453","6653"
"08.01.2017 07:00 - 08.01.2017 08:00","7116","6473"
"08.01.2017 08:00 - 08.01.2017 09:00","7479","6372"
"08.01.2017 09:00 - 08.01.2017 10:00","8128","6247"
"08.01.2017 10:00 - 08.01.2017 11:00","7907","6463"
"08.01.2017 11:00 - 08.01.2017 12:00","7688","6621"
"08.01.2017 12:00 - 08.01.2017 13:00","7714","6651"
"08.01.2017 13:00 - 08.01.2017 14:00","7654","6825"
"08.01.2017 14:00 - 08.01.2017 15:00","7578","6690"
"08.01.2017 15:00 - 08.01.2017 16:00","7553","6529"
"08.01.2017 16:00 - 08.01.2017 17:00","7570","6553"
"08.01.2017 17:00 - 08.01.2017 18:00","8269","6720"
"08.01.2017 18:00 - 08.01.2017 19:00","8016","7343"
"08.01.2017 19:00 - 08.01.2017 20:00","8248","7577"
"08.01.2017 20:00 - 08.01.2017 21:00","8394","7462"
"08.01.2017 21:00 - 08.01.2017 22:00","8077","7166"
"08.01.2017 22:00 - 08.01.2017 23:00","7967","6866"
"08.01.2017 23:00 - 09.01.2017 00:00","7860","6748"
"09.01.2017 00:00 - 09.01.2017 01:00","8367","6552"
"09.01.2017 01:00 - 09.01.2017 02:00","8155","6499"
"09.01.2017 02:00 - 09.01.2017 03:00","8033","6771"
"09.01.2017 03:00 - 09.01.2017 04:00","8278","7095"
"09.01.2017 04:00 - 09.01.2017 05:00","8027","7224"
"09.01.2017 05:00 - 09.01.2017 06:00","8337","7224"
"09.01.2017 06:00 - 09.01.2017 07:00","8758","6978"
"09.01.2017 07:00 - 09.01.2017 08:00","9738","7431"
"09.01.2017 08:00 - 09.01.2017 09:00","9886","8205"
"09.01.2017 09:00 - 09.01.2017 10:00","9885","8643"
"09.01.2017 10:00 - 09.01.2017 11:00","9884","8703"
"09.01.2017 11:00 - 09.01.2017 12:00","9875","8746"
"09.01.2017 12:00 - 09.01.2017 13:00","9859","8665"
"09.01.2017 13:00 - 09.01.2017 14:00","9881","8479"
"09.01.2017 14:00 - 09.01.2017 15:00","9807","8453"
"09.01.2017 15:00 - 09.01.2017 16:00","9649","8396"
"09.01.2017 16:00 - 09.01.2017 17:00","9690","8374"
"09.01.2017 17:00 - 09.01.2017 18:00","9887","8484"
"09.01.2017 18:00 - 09.01.2017 19:00","9882","8698"
"09.01.2017 19:00 - 09.01.2017 20:00","9831","8694"
"09.01.2017 20:00 - 09.01.2017 21:00","9716","8328"
"09.01.2017 21:00 - 09.01.2017 22:00","9393","7833"
"09.01.2017 22:00 - 09.01.2017 23:00","9286","7416"
"09.01.2017 23:00 - 10.01.2017 00:00","9090","7259"
"10.01.2017 00:00 - 10.01.2017 01:00","8618","7115"
"10.01.2017 01:00 - 10.01.2017 02:00","8322","6927"
"10.01.2017 02:00 - 10.01.2017 03:00","8210","6886"
"10.01.2017 03:00 - 10.01.2017 04:00","8186","7091"
"10.01.2017 04:00 - 10.01.2017 05:00","8102","7319"
"10.01.2017 05:00 - 10.01.2017 06:00","8106","7246"
"10.01.2017 06:00 - 10.01.2017 07:00","8441","7190"
